,athlete_id,name,born_date,born_city,born_region,born_country,NOC,height_cm,weight_kg,died_date,h to w ratio,first_name,born_year
143149,146782,Hend Zaza,2009-01-01,Hama,Hama,SYR,Syrian Arab Republic,,,,,Hend,2009.0
139592,143068,Sky Brown,2008-07-07,Miyazaki,Miyazaki,JPN,Great Britain,,,,,Sky,2008.0
137792,141168,Rayssa Leal,2008-01-04,Imperatriz,Maranhão,BRA,Brazil,147.0,35.0,,4.2,Rayssa,2008.0
140902,144431,Kokona Hiraki,2008-08-26,,,,Japan,,,,,Kokona,2008.0
138275,141672,Quan Hongchan,2007-03-28,,,,People's Republic of China,,,,,Quan,2007.0
140904,144433,Momiji Nishiya,2007-08-30,,,,Japan,,,,,Momiji,2007.0
139839,143327,Lilly Stoephasius,2007-06-05,Berlin,Berlin,GER,Germany,,,,,Lilly,2007.0
138068,141457,Summer McIntosh,2006-08-18,Toronto,Ontario,CAN,Canada,,,,,Summer,2006.0
141065,144603,Rikuto Tamai,2006-09-11,Takarazuka,Hyogo,JPN,Japan,,,,,Rikuto,2006.0
140903,144432,Misugu Okamoto,2006-06-22,,,,Japan,,,,,Misugu,2006.0
139315,142781,Madeleine Larcheron,2006-01-24,Paris,Paris,FRA,France,,,,,Madeleine,2006.0
141408,144952,Lee Eun-Ji,2006-07-23,,,,Republic of Korea,,,,,Lee,2006.0
145470,149197,Lee Chae-Eun,2006-04-11,,,,Republic of Korea,,,,,Lee,2006.0
137664,141029,Lana Pudar,2006-01-19,Mostar,Hercegovačko-neretvanski kanton,BIH,Bosnia and Herzegovina,,,,,Lana,2006.0
137957,141339,Kheun Bunpichmorakat,2006-08-28,,,,Cambodia,,,,,Kheun,2006.0
143624,147277,Katie Grimes,2006-01-08,,,,United States,,,,,Katie,2006.0
145096,148809,Kamila Valiyeva,2006-04-26,Kazan,Respublika Tatarstan,RUS,ROC,160.0,,,,Kamila,2006.0
138181,141574,Jillian Crooks,2006-06-27,,,,Cayman Islands,,,,,Jillian,2006.0
139138,142588,Eneli Jefimova,2006-12-27,,,,Estonia,,,,,Eneli,2006.0
139591,143067,Bombette Martin,2006-06-01,,,,Great Britain,,,,,Bombette,2006.0
144508,148200,Anežka Indráčková,2006-07-30,Jablonec nad Nisou,Liberecký kraj,CZE,Czechia,,,,,Anežka,2006.0
145334,149056,Anastasiya Shabotova,2006-01-17,Moskva (Moscow),Moskva,RUS,Ukraine,,,,,Anastasiya,2006.0
145448,149172,Aleksandra Glazkova,2006-03-15,Miass,Chelyabinsk,RUS,ROC,,,,,Aleksandra,2006.0
140059,143556,Aleka Persaud,2006-02-24,,,,Guyana,,,,,Aleka,2006.0
136299,139523,Zuzana Trnková,2005-10-28,,,,Czechia,,,,,Zuzana,2005.0
136441,139667,Zuzana Dobiašová,2005-08-14,,,,Slovakia,,,,,Zuzana,2005.0
136445,139671,Zoe Mächler,2005-05-16,,,,Switzerland,,,,,Zoe,2005.0
136404,139630,Zhang Shuqi,2005-05-16,,,,People's Republic of China,,,,,Zhang,2005.0
138365,141762,Zeng Wenhui,2005-02-08,,,,People's Republic of China,,,,,Zeng,2005.0
136385,139611,Yuzuyu Fujii,2005-02-23,,,,Japan,,,,,Yuzuyu,2005.0
136155,139378,Yuka Chujo,2005-03-08,,,,Japan,,,,,Yuka,2005.0
138377,141774,Yu Yiting,2005-09-05,,,,People's Republic of China,,,,,Yu,2005.0
145082,148794,Yeseniya Pantyukhova,2005-08-04,Yaroslavl,Yaroslavl,RUS,ROC,,,,,Yeseniya,2005.0
136159,139382,Yam Yau,2005-01-25,,,,"Hong Kong, China",,,,,Yam,2005.0
136363,139588,Ximena González,2005-11-21,,,,Mexico,,,,,Ximena,2005.0
136097,139320,Wang Yuchen,2005-06-15,Changchun,Jilin,CHN,People's Republic of China,165.0,,,,Wang,2005.0
136175,139398,Wang Meihe,2005-02-16,,,,People's Republic of China,,,,,Wang,2005.0
136282,139506,Viktória Kučerová,2005-11-08,,,,Slovakia,,,,,Viktória,2005.0
142523,146135,Viktoriya Listunova,2005-05-12,Podolsk,Moskva Oblast,RUS,ROC,,,,,Viktoriya,2005.0
136467,139693,Valeria Ansoleaga,2005-04-04,Majadahonda,Madrid,ESP,Spain,,,,,Valeria,2005.0
144155,147833,Valentino Guseli,2005-04-01,Canberra,Australian Capital Territory,AUS,Australia,,,,,Valentino,2005.0
136494,139720,Valentina Vrhoci,2005-05-25,,,,Serbia,,,,,Valentina,2005.0
136357,139582,Tommaso Madaschi,2005-04-27,Torino,Torino,ITA,Italy,,,,,Tommaso,2005.0
136163,139386,Tibo van Reeth,2005-01-06,,,,Belgium,,,,,Tibo,2005.0
136568,139795,Tian Badžukov,2005-02-20,,,,Slovenia,,,,,Tian,2005.0
141828,145409,Théo Druenne,2005-07-19,,,,Monaco,,,,,Théo,2005.0
136371,139597,Tereza Belková,2005-03-13,,,,Slovakia,,,,,Tereza,2005.0
136381,139607,Tereza Pištěková,2005-06-03,Tábor,Jihočeský kraj,CZE,Czechia,168.0,48.0,,3.5,Tereza,2005.0
136204,139428,Sohn Hyun,2005-04-03,,,,Republic of Korea,,,,,Sohn,2005.0
136405,139631,Sofia Thierolf,2005-03-19,Bamberg,Bayern,GER,Germany,,,,,Sofia,2005.0
136409,139635,Shin Seo-Yoon,2005-01-10,,,,Republic of Korea,,,,,Shin,2005.0
136394,139620,Sena Hasegawa,2005-05-12,,,,Japan,,,,,Sena,2005.0
136599,139827,Selīna Zvilna,2005-11-24,,,,Latvia,,,,,Selīna,2005.0
136340,139565,Saskia Rohregger,2005-08-10,Merano,Bolzano-Bozen,ITA,Italy,,,,,Saskia,2005.0
141798,145379,Sasha Gatt,2005-06-22,,,,Malta,,,,,Sasha,2005.0
143253,146895,Sarra Guezguez,2005-03-12,,,,Tunisia,,,,,Sarra,2005.0
144608,148300,Sanni Vanhanen,2005-07-01,Nokia,Pirkanmaa,FIN,Finland,,,,,Sanni,2005.0
136466,139692,Roos Karst,2005-05-17,,,,Netherlands,,,,,Roos,2005.0
136219,139443,Riko Matsumoto,2005-02-02,,,,Japan,,,,,Riko,2005.0
136254,139478,Renee Heyer,2005-08-31,Bielefeld,Nordrhein-Westfalen,GER,Germany,,,,,Renee,2005.0
136216,139440,Reina Sato,2005-04-19,,,,Japan,,,,,Reina,2005.0
136183,139406,Regina Metzler,2005-10-25,Budapest,Budapest,HUN,Hungary,167.0,53.0,,3.150943396226415,Regina,2005.0
136213,139437,Polina Lubenets,2005-02-25,,,,Ukraine,167.0,57.0,,2.9298245614035086,Polina,2005.0
144428,148119,Peng Qingyue,2005-01-13,,,,People's Republic of China,,,,,Peng,2005.0
136341,139566,Oscar Fisker Mølgaard,2005-02-18,,,,Denmark,,,,,Oscar,2005.0
143418,147070,Oleksiy Sereda,2005-12-25,Mykolaïv,Mykolaïv,UKR,Ukraine,,,,,Oleksiy,2005.0
137910,141292,Noor Yusuf,2005-10-03,,,,Bahrain,,,,,Noor,2005.0
136075,139297,Nikita Kovalenko,2005-12-20,Kharkiv,Kharkiv,UKR,Israel,,,,,Nikita,2005.0
136135,139358,Nicolò Remolato,2005-06-08,Bolzano,Bolzano-Bozen,ITA,Italy,,,,,Nicolò,2005.0
136057,139279,Nella Pelkonen,2005-04-13,Tampere,Pirkanmaa,FIN,Finland,,,,,Nella,2005.0
136525,139751,Nedyalko Ivanov,2005-01-02,Sofia,Sofia Grad,BUL,Bulgaria,,,,,Nedyalko,2005.0
136308,139532,Natálie Brichová,2005-02-01,,,,Czechia,,,,,Natálie,2005.0
136160,139383,Nao Fukuda,2005-04-17,,,,Japan,,,,,Nao,2005.0
136285,139509,Nagomi Murakami,2005-01-17,,,,Japan,,,,,Nagomi,2005.0
136510,139736,Mária Nemčeková,2005-01-30,,,,Slovakia,,,,,Mária,2005.0
143944,147602,Mya de Freitas,2005-09-16,,,,Saint Vincent and the Grenadines,,,,,Mya,2005.0
136402,139628,Molly Lukowiak,2005-06-06,Townsville,Queensland,AUS,Australia,,,,,Molly,2005.0
136328,139553,Mikhail Gulyayev,2005-04-26,,,,Russian Federation,,,,,Mikhail,2005.0
141788,145369,Mia Blazhevska Eminova,2005-08-04,,,,North Macedonia,,,,,Mia,2005.0
143290,146932,Merve Tuncel,2005-01-01,,,,Türkiye,,,,,Merve,2005.0
136270,139494,Melanie Hernández,2005-06-28,,,,Mexico,,,,,Melanie,2005.0
135944,139158,Maëlle Vergnaud,2005-04-07,,,,France,,,,,Maëlle,2005.0
136195,139418,Maya Stöber,2005-03-13,Weißwasser,Sachsen,GER,Germany,,,,,Maya,2005.0
136092,139315,Matteo Nalbone,2005-03-17,Milano,Milano,ITA,Italy,,,,,Matteo,2005.0
136499,139725,Masaki Tanabe,2005-07-14,,,,Japan,,,,,Masaki,2005.0
136498,139724,Maria Runevska,2005-08-05,Sofia,Sofia Grad,BUL,Bulgaria,,,,,Maria,2005.0
136166,139389,Margaux Favre,2005-06-23,Fribourg,Fribourg,SUI,Switzerland,,,,,Margaux,2005.0
136335,139560,Magdalena Luggin,2005-11-06,Wien (Vienna),Wien,AUT,Austria,172.0,57.0,,3.017543859649123,Magdalena,2005.0
136345,139570,Lukas Floriantschitz,2005-01-05,Villach,Kärnten,AUT,Austria,169.0,58.0,,2.913793103448276,Lukas,2005.0
136472,139698,Luka Banek,2005-08-25,Zagreb,Grad Zagreb,CRO,Croatia,,,,,Luka,2005.0
136448,139674,Luisa Wilson,2005-08-05,,,,Mexico,,,,,Luisa,2005.0
136878,140114,Lu Chia-Hsin,2005-04-02,,,,Chinese Taipei,,,,,Lu,2005.0
136583,139810,Lovro Kovačič,2005-03-27,,,,Slovenia,,,,,Lovro,2005.0
144958,148667,Lindsay van Zundert,2005-02-01,Etten-Leur,Noord-Brabant,NED,Netherlands,,,,,Lindsay,2005.0
136444,139670,Lily Stern,2005-03-22,,,,Slovakia,,,,,Lily,2005.0
136310,139535,Liliane Gottfried,2005-08-25,Soest,Nordrhein-Westfalen,GER,Germany,,,,,Liliane,2005.0
135933,139147,Leticia Cid,2005-05-04,Rio de Janeiro,Rio de Janeiro,BRA,Brazil,159.0,53.0,,3.0,Leticia,2005.0
136429,139655,Leni Schmidt,2005-04-27,,,,Germany,,,,,Leni,2005.0
136307,139531,Lee Eun-Ji,2005-02-01,,,,Republic of Korea,,,,,Lee,2005.0
144889,148595,Lee Seung-Hun,2005-07-12,,,,Republic of Korea,,,,,Lee,2005.0
136139,139362,Lea Glosíková,2005-07-25,,,,Slovakia,,,,,Lea,2005.0
136440,139666,Lea Giertlová,2005-05-27,,,,Slovakia,,,,,Lea,2005.0
136280,139504,Laura Medviďová,2005-06-01,,,,Slovakia,,,,,Laura,2005.0
136451,139677,Laura Jancsóová,2005-08-30,,,,Slovakia,,,,,Laura,2005.0
